adjustment_stat,scene_stat,pearson_r,pearson_p,spearman_rho,spearman_p
max_magnitude,g_std,0.94073304518,0.000497588769222,0.904761904762,0.00200827550543
mean_abs_delta_b,luminance_std,0.938431722942,0.000556849684015,0.904761904762,0.00200827550543
max_magnitude,hist_entropy_r,0.93575524039,0.000631376954588,0.785714285714,0.0208151272535
mean_abs_delta_b,g_std,0.929371419072,0.00083480979229,0.880952380952,0.00385032046373
adjustment_std,b_mean,0.922023307031,0.0011170775775,0.785714285714,0.0208151272535
max_magnitude,luminance_std,0.916927948552,0.00134538327356,0.928571428571,0.0008629681829
mean_abs_delta_r,hist_entropy_g,0.916326274113,0.00137418969742,0.809523809524,0.0149026676862
adjustment_std,hist_entropy_b,0.912012215054,0.00159256780833,0.833333333333,0.0101755401235
max_magnitude,g_mean,0.899470819588,0.00235224873438,0.809523809524,0.0149026676862
max_magnitude,luminance_mean,0.885542152736,0.00343423413974,0.809523809524,0.0149026676862
mean_abs_delta_b,r_std,0.884160439802,0.00355627221346,0.785714285714,0.0208151272535
max_magnitude,r_std,0.88160102838,0.00378964850372,0.809523809524,0.0149026676862
mean_abs_delta_b,b_mean,0.880719030194,0.00387229929561,0.738095238095,0.0365527610529
max_magnitude,r_mean,0.875012145968,0.00443524203721,0.809523809524,0.0149026676862
mean_abs_delta_b,hist_entropy_b,0.874430442266,0.00449540533268,0.857142857143,0.00653001725472
max_magnitude,hist_entropy_g,0.863323940431,0.00574648395609,0.785714285714,0.0208151272535
mean_abs_delta_b,hist_entropy_r,0.84582476361,0.00813513191044,0.761904761905,0.0280049391531
mean_abs_delta_b,b_std,0.841449022339,0.00881698561023,0.738095238095,0.0365527610529
mean_abs_delta_r,b_std,0.823500135743,0.0119905189214,0.857142857143,0.00653001725472
mean_abs_magnitude,hist_entropy_g,0.823364072114,0.0120169640702,0.904761904762,0.00200827550543
mean_abs_delta_b,luminance_mean,0.818968528802,0.0128911931633,0.785714285714,0.0208151272535
mean_abs_magnitude,hist_entropy_r,0.817306422604,0.0132319163993,0.547619047619,0.160025642539
mean_abs_delta_b,hist_entropy_g,0.81563915215,0.013579346839,0.809523809524,0.0149026676862
mean_abs_magnitude,g_std,0.810151054224,0.0147633623652,0.738095238095,0.0365527610529
mean_abs_delta_b,r_mean,0.800517522725,0.0169945310744,0.785714285714,0.0208151272535
mean_abs_delta_b,g_mean,0.79929174915,0.0172926471136,0.785714285714,0.0208151272535
mean_abs_delta_r,g_std,0.78350841225,0.0214262336376,0.619047619048,0.101733037454
mean_abs_magnitude,g_mean,0.775235507067,0.0238170193325,0.5,0.20703125
max_magnitude,b_std,0.774814531218,0.0239428933006,0.714285714286,0.0465282322842
mean_abs_magnitude,luminance_std,0.760199208889,0.0285712026649,0.690476190476,0.0579903181646
mean_abs_delta_r,hist_entropy_r,0.745734349978,0.0336578328906,0.47619047619,0.23293553465
mean_abs_magnitude,luminance_mean,0.745431620744,0.0337697841442,0.5,0.20703125
mean_abs_magnitude,r_mean,0.736992837699,0.0369826194619,0.5,0.20703125
mean_abs_delta_r,luminance_std,0.711534386411,0.0477757591369,0.571428571429,0.138959957161
mean_abs_magnitude,r_std,0.709643787459,0.0486445643721,0.5,0.20703125
mean_abs_magnitude,b_std,0.694756981883,0.0558175893008,0.880952380952,0.00385032046373
adjustment_std,luminance_std,0.687448216498,0.0595571436429,0.714285714286,0.0465282322842
adjustment_std,r_std,0.675214023868,0.0661424686697,0.595238095238,0.119529806139
adjustment_std,g_std,0.632749175714,0.0922282247438,0.642857142857,0.0855588910127
mean_abs_delta_r,g_mean,0.620489428743,0.100707594948,0.428571428571,0.289403224847
mean_abs_delta_r,r_mean,0.605193910081,0.111889908677,0.428571428571,0.289403224847
mean_abs_delta_r,luminance_mean,0.602456520468,0.113962080427,0.428571428571,0.289403224847
mean_abs_delta_r,r_std,0.602176891988,0.114174969853,0.428571428571,0.289403224847
max_magnitude,b_mean,0.583237882658,0.129118283518,0.666666666667,0.070987654321
adjustment_std,saturation_mean,0.580173219779,0.131633639655,0.238095238095,0.570156320816
adjustment_std,luminance_mean,0.562646600821,0.146539657584,0.595238095238,0.119529806139
adjustment_std,b_std,0.555296637522,0.153054372536,0.428571428571,0.289403224847
adjustment_std,r_mean,0.553604255068,0.154576480794,0.595238095238,0.119529806139
adjustment_std,hist_entropy_r,0.548624670193,0.159102881555,0.52380952381,0.18272075054
max_magnitude,hist_entropy_b,0.518435485366,0.188067361083,0.785714285714,0.0208151272535
adjustment_std,g_mean,0.51344750159,0.193103366916,0.595238095238,0.119529806139
mean_abs_delta_g,g_mean,0.478793046045,0.230027230464,-0.119047619048,0.778885726052
adjustment_std,hist_entropy_g,0.434545220645,0.281986032045,0.5,0.20703125
mean_abs_delta_g,luminance_mean,0.422094034779,0.297551486058,-0.119047619048,0.778885726052
mean_abs_delta_b,saturation_mean,0.419849272405,0.300400810301,0.0714285714286,0.866526270676
mean_abs_delta_g,r_mean,0.413934846317,0.307970595387,-0.119047619048,0.778885726052
mean_abs_delta_g,hist_entropy_r,0.413433989457,0.308615778067,-0.0952380952381,0.822505430204
mean_abs_delta_r,hist_entropy_b,0.398955361586,0.327543430879,0.428571428571,0.289403224847
mean_abs_delta_g,hist_entropy_b,-0.359431967094,0.381859784053,-0.666666666667,0.070987654321
mean_abs_magnitude,b_mean,0.320542972394,0.438881779382,0.261904761905,0.530922861566
mean_abs_delta_g,g_std,0.307761142211,0.458350211958,-0.214285714286,0.610344415645
mean_abs_delta_g,r_std,0.306273555745,0.460638395088,-0.119047619048,0.778885726052
mean_abs_magnitude,hist_entropy_b,0.288302030454,0.488640662427,0.619047619048,0.101733037454
mean_abs_delta_g,hist_entropy_g,0.279116347569,0.503202604556,-0.285714285714,0.492726245017
mean_abs_delta_r,b_mean,0.274109383461,0.511208945968,0.0714285714286,0.866526270676
mean_abs_delta_g,luminance_std,0.268923505428,0.519551619928,-0.238095238095,0.570156320816
