metric,lut_a,lut_b,distance
euclidean,base,base,0.0
euclidean,base,cluster_0,0.9404794573783875
euclidean,base,cluster_1,1.052980661392212
euclidean,base,cluster_2,1.0952192544937134
euclidean,base,cluster_3,1.0738364458084106
euclidean,base,cluster_4,0.8005567789077759
euclidean,base,cluster_5,1.1067168712615967
euclidean,base,cluster_6,1.0235439538955688
euclidean,base,cluster_7,1.066514492034912
euclidean,cluster_0,base,0.9404794573783875
euclidean,cluster_0,cluster_0,0.0
euclidean,cluster_0,cluster_1,0.2656344771385193
euclidean,cluster_0,cluster_2,0.30382487177848816
euclidean,cluster_0,cluster_3,0.2670382261276245
euclidean,cluster_0,cluster_4,0.4126259386539459
euclidean,cluster_0,cluster_5,0.3330787718296051
euclidean,cluster_0,cluster_6,0.2256430685520172
euclidean,cluster_0,cluster_7,0.23008501529693604
euclidean,cluster_1,base,1.052980661392212
euclidean,cluster_1,cluster_0,0.2656344771385193
euclidean,cluster_1,cluster_1,0.0
euclidean,cluster_1,cluster_2,0.11393515020608902
euclidean,cluster_1,cluster_3,0.07194066792726517
euclidean,cluster_1,cluster_4,0.46238166093826294
euclidean,cluster_1,cluster_5,0.14528264105319977
euclidean,cluster_1,cluster_6,0.04809730872511864
euclidean,cluster_1,cluster_7,0.1642204225063324
euclidean,cluster_2,base,1.0952192544937134
euclidean,cluster_2,cluster_0,0.30382487177848816
euclidean,cluster_2,cluster_1,0.11393515020608902
euclidean,cluster_2,cluster_2,0.0
euclidean,cluster_2,cluster_3,0.050353653728961945
euclidean,cluster_2,cluster_4,0.4246961176395416
euclidean,cluster_2,cluster_5,0.03591014817357063
euclidean,cluster_2,cluster_6,0.11322910338640213
euclidean,cluster_2,cluster_7,0.10719303041696548
euclidean,cluster_3,base,1.0738364458084106
euclidean,cluster_3,cluster_0,0.2670382261276245
euclidean,cluster_3,cluster_1,0.07194066792726517
euclidean,cluster_3,cluster_2,0.050353653728961945
euclidean,cluster_3,cluster_3,0.0
euclidean,cluster_3,cluster_4,0.4319351315498352
euclidean,cluster_3,cluster_5,0.08513816446065903
euclidean,cluster_3,cluster_6,0.0685986652970314
euclidean,cluster_3,cluster_7,0.10291179269552231
euclidean,cluster_4,base,0.8005567789077759
euclidean,cluster_4,cluster_0,0.4126259386539459
euclidean,cluster_4,cluster_1,0.46238166093826294
euclidean,cluster_4,cluster_2,0.4246961176395416
euclidean,cluster_4,cluster_3,0.4319351315498352
euclidean,cluster_4,cluster_4,0.0
euclidean,cluster_4,cluster_5,0.42000335454940796
euclidean,cluster_4,cluster_6,0.42401108145713806
euclidean,cluster_4,cluster_7,0.3848530948162079
euclidean,cluster_5,base,1.1067168712615967
euclidean,cluster_5,cluster_0,0.3330787718296051
euclidean,cluster_5,cluster_1,0.14528264105319977
euclidean,cluster_5,cluster_2,0.03591014817357063
euclidean,cluster_5,cluster_3,0.08513816446065903
euclidean,cluster_5,cluster_4,0.42000335454940796
euclidean,cluster_5,cluster_5,0.0
euclidean,cluster_5,cluster_6,0.14601102471351624
euclidean,cluster_5,cluster_7,0.12480925768613815
euclidean,cluster_6,base,1.0235439538955688
euclidean,cluster_6,cluster_0,0.2256430685520172
euclidean,cluster_6,cluster_1,0.04809730872511864
euclidean,cluster_6,cluster_2,0.11322910338640213
euclidean,cluster_6,cluster_3,0.0685986652970314
euclidean,cluster_6,cluster_4,0.42401108145713806
euclidean,cluster_6,cluster_5,0.14601102471351624
euclidean,cluster_6,cluster_6,0.0
